İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Price,Listing URL,Ağır Hasarlı
Kopyalandı26483589,20 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,202.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),,,,İkinci El,,,"1 değişen, 8 boyalı",,Sahibinden,500.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26483589,
Kopyalandı26495897,20 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,180.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,680.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2018-model-adana/26495897,
Kopyalandı26479031,20 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,156.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,675.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26479031,
Kopyalandı26477864,20 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,122.500 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,680.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26477864,
Kopyalandı26476256,20 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,220.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,5 boyalı,,Sahibinden,560.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26476256,
Kopyalandı26475670,20 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,72.000 km,Düz,Dizel,Hatchback/5,Gri (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,665.500 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26475670,
Kopyalandı26360056,20 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,125.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 boyalı,Takasa Uygun,Galeriden,629.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/hatasiz-boyasiz-2015-stepway-1-5dci-125binde/26360056,
Kopyalandı26366780,20 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,64.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,650.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2015-model-izmir/26366780,
Kopyalandı26490313,20 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,136.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 değişen,Takasa Uygun,Galeriden,630.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/1-deisen-harici-hatasiz-dusuk-km/26490313,
Kopyalandı26268877,19 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,89.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,690.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/yagmur-otomotiv-dacia-sandero-1-5-dci-hatasiz-kusirsuz-boyasiz/26268877,
Kopyalandı26473834,19 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,179.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,580.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26473834,
Kopyalandı26484441,19 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,65.600 km,Otomatik,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"2 değişen, 1 boyalı",Takasa Uygun,Galeriden,660.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/mm-motors-2018-dacia-sandero-1-5-dci-stepway-otomatik/26484441,
Kopyalandı26484343,19 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2019,94.750 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,785.075 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2019-model-burdur/26484343,
Kopyalandı26471617,19 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,147.000 km,Yarı Otomatik,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,,Sahibinden,665.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/2016-otomatik-stepway-degiseniz-boyasiz-hasar-kayitsiz/26471617,
Kopyalandı25935139,19 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,93.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,590.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/25935139,
Kopyalandı26479320,19 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,110.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,719.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-dacia-sandero-1-5-dci-stepway-110-kmde-hatasiz-muayene-yeni/26479320,
Kopyalandı26463592,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,104.250 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,695.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26463592,
Kopyalandı26462002,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,133.500 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,625.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26462002,
Kopyalandı26466418,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,98.000 km,Yarı Otomatik,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,,Sahibinden,725.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26466418,
Kopyalandı26467075,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,91.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,2 boyalı,,Sahibinden,736.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26467075,
Kopyalandı26460232,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,139.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,700.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26460232,
Kopyalandı26472623,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,68.500 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,1 boyalı,,Sahibinden,750.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-cikisli-makyajli-kasa/26472623,
Kopyalandı26171830,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,89.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,745.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/ankarada-hatasiz-sahibinden/26171830,
Kopyalandı26458252,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,69.970 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,765.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26458252,
Kopyalandı26457400,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,205.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 boyalı,,Sahibinden,630.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26457400,
Kopyalandı26456631,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,95.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,,Sahibinden,680.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/3-ekim-de-ilandan-kaldiracagim-1-5-dci-2-sahibinden-otomatik-95-bin-km-bakimli/26456631,
Kopyalandı26454274,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,157.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 boyalı,,Sahibinden,630.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26454274,
Kopyalandı26453246,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,133.000 km,Düz,Dizel,Hatchback/5,Lacivert,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 değişen,Takasa Uygun,Sahibinden,658.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26453246,
Kopyalandı26221755,18 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,123.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,610.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/hilal-oto-galeri-den-bakimli-2015-sandero/26221755,
Kopyalandı26448745,17 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,161.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,625.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26448745,
Kopyalandı26324711,17 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,109.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,610.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/ilhan-turgut-auto-dan-dacia-sandero-stepway-109-binde/26324711,
Kopyalandı25908324,17 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,93.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,630.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/93-000-de-hasarsiz-tum-bakimi-yaptirilmis-yenilenmis-sifir-masrafli-ilk-sahibinden/25908324,
Kopyalandı25923917,17 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,270.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,565.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/25923917,
Kopyalandı26445106,17 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,395.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,4 boyalı,,Sahibinden,450.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26445106,
Kopyalandı26444976,17 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,102.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,715.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26444976,
Kopyalandı22823763,17 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,91.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,630.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2016-model-adana/22823763,
Kopyalandı25907250,16 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,161.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"6 değişen, 2 boyalı",Takasa Uygun,Sahibinden,500.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/dacia-sandero-1-5-dci-2015-model-160binde-bakimli-masrafsiz-satilik/25907250,
Kopyalandı26195215,16 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,132.000 km,Yarı Otomatik,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,725.900 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/akkaya-otomotivden-215-bin-tl-pesinatla-2017-dacia-sandero/26195215,
Kopyalandı26221784,16 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,198.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun,Galeriden,595.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/hilal-oto-galeri-den-bakimli-2013-sandero/26221784,
Kopyalandı26434905,15 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,151.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,645.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26434905,
Kopyalandı23407295,15 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,108.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,700.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/23407295,
Kopyalandı26435628,14 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,58.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,675.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-58-bin-de-dacia-sandero-1-5-dci-stepway-2016-model-adana/26435628,
Kopyalandı24577246,14 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,83.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,665.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2015-model-erzincan/24577246,
Kopyalandı26181133,14 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,78.471 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,649.900 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/otomobil-dacia-sandero-hatchback-1-5-dci-stepway/26181133,
Kopyalandı26426997,13 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,113.900 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,"1 değişen, 1 boyalı",,Sahibinden,635.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26426997,
Kopyalandı26423518,13 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,105.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,645.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26423518,
Kopyalandı26422784,13 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,138.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,625.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/ogretmenden-dacia-sandero-1-5-dci-stepway-2016-model/26422784,
Kopyalandı26421993,13 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,152.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,1 boyalı,,Sahibinden,610.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26421993,
Kopyalandı25956705,13 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,78.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,665.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/erdogdu-auto-dan-2015-model-dacia-stepvay/25956705,
Kopyalandı26414092,12 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,90.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,"3 değişen, 2 boyalı",,Sahibinden,580.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26414092,
Kopyalandı26411065,12 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,190.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,645.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2018-model/26411065,
Kopyalandı26410979,12 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,190.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,,Sahibinden,645.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2018-model/26410979,
Kopyalandı26409415,12 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,62.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 boyalı,Takasa Uygun,Sahibinden,535.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26409415,
Kopyalandı22652754,12 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,152.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,560.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/dacia-sandero-1-5-dci-stepway-2012-km-138000-manuel-dizel/22652754,
Kopyalandı26407291,11 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,98.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,620.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26407291,
Kopyalandı16378360,11 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,76.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,663.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/16378360,
Kopyalandı26401000,11 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,183.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,570.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26401000,
Kopyalandı26396537,11 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,123.500 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,2 boyalı,,Sahibinden,635.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26396537,
Kopyalandı25749669,11 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,192.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,70 hp,Önden Çekiş,İkinci El,,50 lt,5 boyalı,Takasa Uygun,Galeriden,495.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/haxel-auto-2015model-daccia-sandero-stepway-1-5-blue-dci-95-hp/25749669,
Kopyalandı24089157,11 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,201.250 km,Düz,Dizel,Hatchback/5,Mavi,1201 - 1400 cm3,101 - 125 HP,,İkinci El,,,"2 değişen, 9 boyalı",Takasa Uygun Değil,Galeriden,500.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2014-dacia-sandero-stepway-eco-mod/24089157,Evet
Kopyalandı26392309,10 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,155.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,,50 lt,Tamamı orjinal,,Sahibinden,625.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model-diyarbakir-99-000-km-siyah/26392309,
Kopyalandı26392248,10 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,107.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,640.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/aciliyetten-son-fiyat-gelen-alir-masrafsiz/26392248,
